"L","a","b"
15.5,-20,10
15.5,-20,-10
15.5,20,10
15.5,20,-10
15.5,-20,20
15.5,-20,-20
15.5,20,20
15.5,20,-20
15.5,-20,-30
15.5,20,-30
15.5,20,-40
15.5,20,-50
15.5,20,-60
15.5,-30,0
15.5,30,0
15.5,-30,10
15.5,-30,-10
15.5,30,10
15.5,30,-10
15.5,-30,20
15.5,-30,-20
15.5,30,20
15.5,30,-20
15.5,-30,-30
15.5,30,-30
15.5,30,-40
15.5,30,-50
15.5,30,-60
15.5,-40,0
15.5,40,0
15.5,-40,10
15.5,-40,-10
15.5,40,10
15.5,40,-10
15.5,-40,20
15.5,-40,-20
15.5,40,20
15.5,40,-20
15.5,40,-30
15.5,40,-40
15.5,40,-50
15.5,40,-60
15.5,40,-70
15.5,-50,0
15.5,50,0
15.5,-50,10
15.5,-50,-10
15.5,50,10
15.5,50,-10
15.5,-50,20
15.5,50,20
15.5,50,-20
15.5,50,-30
15.5,50,-40
15.5,50,-50
15.5,50,-60
15.5,50,-70
15.5,-60,0
15.5,60,0
15.5,-60,10
15.5,60,-10
15.5,-60,20
15.5,60,-20
15.5,60,-30
15.5,60,-40
15.5,60,-50
15.5,60,-60
15.5,60,-70
15.5,60,-80
15.5,70,-30
15.5,70,-40
15.5,70,-50
15.5,70,-60
15.5,70,-70
15.5,70,-80
15.5,80,-50
15.5,80,-60
15.5,80,-70
15.5,80,-80
15.5,80,-90
15.5,90,-100
15.5,90,-60
15.5,90,-70
15.5,90,-80
15.5,90,-90
20.5,0,0
20.5,0,10
20.5,0,-10
20.5,0,20
20.5,0,-20
20.5,0,30
20.5,0,-30
20.5,0,-40
20.5,0,-50
20.5,-10,0
20.5,10,0
20.5,100,-100
20.5,100,-110
20.5,100,-70
20.5,100,-80
20.5,100,-90
20.5,-10,10
20.5,-10,-10
20.5,10,10
20.5,10,-10
20.5,-10,20
20.5,-10,-20
20.5,10,20
20.5,10,-20
20.5,-10,30
20.5,-10,-30
20.5,10,30
20.5,10,-30
20.5,-10,-40
20.5,10,-40
20.5,-10,-50
20.5,10,-50
20.5,10,-60
20.5,110,-100
20.5,110,-110
20.5,110,-80
20.5,110,-90
20.5,120,-100
20.5,120,-110
20.5,120,-120
20.5,120,-90
20.5,130,-110
20.5,130,-120
20.5,-20,0
20.5,20,0
20.5,-20,10
20.5,-20,-10
20.5,20,10
20.5,20,-10
20.5,-20,20
20.5,-20,-20
20.5,20,20
20.5,20,-20
20.5,-20,30
20.5,-20,-30
20.5,20,30
20.5,20,-30
20.5,-20,-40
20.5,20,-40
20.5,20,-50
20.5,20,-60
20.5,-30,0
20.5,30,0
20.5,-30,10
20.5,-30,-10
20.5,30,10
20.5,30,-10
20.5,-30,20
20.5,-30,-20
20.5,30,20
20.5,30,-20
20.5,-30,30
20.5,-30,-30
20.5,30,30
20.5,30,-30
20.5,30,-40
20.5,30,-50
20.5,30,-60
20.5,30,-70
20.5,-40,0
20.5,40,0
20.5,-40,10
20.5,-40,-10
20.5,40,10
20.5,40,-10
20.5,-40,20
20.5,-40,-20
20.5,40,20
20.5,40,-20
20.5,-40,30
20.5,-40,-30
20.5,40,30
20.5,40,-30
20.5,40,-40
20.5,40,-50
20.5,40,-60
20.5,40,-70
20.5,-50,0
20.5,50,0
20.5,-50,10
20.5,-50,-10
20.5,50,10
20.5,50,-10
20.5,-50,20
20.5,-50,-20
20.5,50,20
20.5,50,-20
20.5,-50,30
20.5,50,30
20.5,50,-30
20.5,50,-40
20.5,50,-50
20.5,50,-60
20.5,50,-70
20.5,50,-80
20.5,-60,0
20.5,60,0
20.5,-60,10
20.5,-60,-10
20.5,60,10
20.5,60,-10
20.5,-60,20
20.5,-60,-20
20.5,60,20
20.5,60,-20
20.5,-60,30
20.5,60,30
20.5,60,-30
20.5,60,-40
20.5,60,-50
20.5,60,-60
20.5,60,-70
20.5,60,-80
20.5,60,-90
20.5,-70,0
20.5,-70,10
20.5,-70,-10
20.5,70,-10
20.5,-70,20
20.5,70,-20
20.5,-70,30
20.5,70,-30
20.5,70,-40
20.5,70,-50
20.5,70,-60
20.5,70,-70
20.5,70,-80
20.5,70,-90
20.5,-80,0
20.5,-80,10
20.5,80,-100
20.5,-80,20
20.5,80,-30
20.5,80,-40
20.5,80,-50
20.5,80,-60
20.5,80,-70
20.5,80,-80
20.5,80,-90
20.5,90,-100
20.5,90,-50
20.5,90,-60
20.5,90,-70
20.5,90,-80
20.5,90,-90
25.5,0,0
25.5,0,10
25.5,0,-10
25.5,0,20
25.5,0,-20
25.5,0,30
25.5,0,-30
25.5,0,40
25.5,0,-40
25.5,0,-50
25.5,0,-60
25.5,-10,0
25.5,10,0
25.5,-100,0
25.5,-100,10
25.5,100,-100
25.5,100,-110
25.5,-100,20
25.5,-100,30
25.5,100,-60
25.5,100,-70
25.5,100,-80
25.5,100,-90
25.5,-10,10
25.5,-10,-10
25.5,10,10
25.5,10,-10
25.5,-10,20
25.5,-10,-20
25.5,10,20
25.5,10,-20
25.5,-10,30
25.5,-10,-30
25.5,10,30
25.5,10,-30
25.5,-10,40
25.5,-10,-40
25.5,10,40
25.5,10,-40
25.5,-10,-50
25.5,10,-50
25.5,10,-60
25.5,110,-100
25.5,110,-110
25.5,110,-120
25.5,110,-70
25.5,110,-80
25.5,110,-90
25.5,120,-100
25.5,120,-110
25.5,120,-90
25.5,130,-110
25.5,-20,0
25.5,20,0
25.5,-20,10
25.5,-20,-10
25.5,20,10
25.5,20,-10
25.5,-20,20
25.5,-20,-20
25.5,20,20
25.5,20,-20
25.5,-20,30
25.5,-20,-30
25.5,20,30
25.5,20,-30
25.5,-20,40
25.5,-20,-40
25.5,20,40
25.5,20,-40
25.5,-20,-50
25.5,20,-50
25.5,20,-60
25.5,20,-70
25.5,-30,0
25.5,30,0
25.5,-30,10
25.5,-30,-10
25.5,30,10
25.5,30,-10
25.5,-30,20
25.5,-30,-20
25.5,30,20
25.5,30,-20
25.5,-30,30
25.5,-30,-30
25.5,30,30
25.5,30,-30
25.5,-30,40
25.5,-30,-40
25.5,30,40
25.5,30,-40
25.5,30,-50
25.5,30,-60
25.5,30,-70
25.5,-40,0
25.5,40,0
25.5,-40,10
25.5,-40,-10
25.5,40,10
25.5,40,-10
25.5,-40,20
25.5,-40,-20
25.5,40,20
25.5,40,-20
25.5,-40,30
25.5,-40,-30
25.5,40,30
25.5,40,-30
25.5,-40,40
25.5,-40,-40
25.5,40,40
25.5,40,-40
25.5,40,-50
25.5,40,-60
25.5,40,-70
25.5,40,-80
25.5,-50,0
25.5,50,0
25.5,-50,10
25.5,-50,-10
25.5,50,10
25.5,50,-10
25.5,-50,20
25.5,-50,-20
25.5,50,20
25.5,50,-20
25.5,-50,30
25.5,-50,-30
25.5,50,30
25.5,50,-30
25.5,-50,40
25.5,50,40
25.5,50,-40
25.5,50,-50
25.5,50,-60
25.5,50,-70
25.5,50,-80
25.5,50,-90
25.5,-60,0
25.5,60,0
25.5,-60,10
25.5,-60,-10
25.5,60,10
25.5,60,-10
25.5,-60,20
25.5,-60,-20
25.5,60,20
25.5,60,-20
25.5,-60,30
25.5,60,30
25.5,60,-30
25.5,-60,40
25.5,60,40
25.5,60,-40
25.5,60,-50
25.5,60,-60
25.5,60,-70
25.5,60,-80
25.5,60,-90
25.5,-70,0
25.5,70,0
25.5,-70,10
25.5,-70,-10
25.5,70,10
25.5,70,-10
25.5,70,-100
25.5,-70,20
25.5,-70,-20
25.5,70,20
25.5,70,-20
25.5,-70,30
25.5,70,30
25.5,70,-30
25.5,-70,40
25.5,70,40
25.5,70,-40
25.5,70,-50
25.5,70,-60
25.5,70,-70
25.5,70,-80
25.5,70,-90
25.5,-80,0
25.5,-80,10
25.5,-80,-10
25.5,80,-100
25.5,-80,20
25.5,80,-20
25.5,-80,30
25.5,80,-30
25.5,80,-40
25.5,80,-50
25.5,80,-60
25.5,80,-70
25.5,80,-80
25.5,80,-90
25.5,-90,0
25.5,-90,10
25.5,-90,-10
25.5,90,-100
25.5,90,-110
25.5,-90,20
25.5,-90,30
25.5,90,-40
25.5,90,-50
25.5,90,-60
25.5,90,-70
25.5,90,-80
25.5,90,-90
30.5,0,0
30.5,0,10
30.5,0,-10
30.5,0,20
30.5,0,-20
30.5,0,30
30.5,0,-30
30.5,0,40
30.5,0,-40
30.5,0,50
30.5,0,-50
30.5,0,-60
30.5,-10,0
30.5,10,0
30.5,-100,0
30.5,-100,10
30.5,-100,-10
30.5,100,-100
30.5,100,-110
30.5,-100,20
30.5,-100,30
30.5,-100,40
30.5,100,-50
30.5,100,-60
30.5,100,-70
30.5,100,-80
30.5,100,-90
30.5,-10,10
30.5,-10,-10
30.5,10,10
30.5,10,-10
30.5,-10,20
30.5,-10,-20
30.5,10,20
30.5,10,-20
30.5,-10,30
30.5,-10,-30
30.5,10,30
30.5,10,-30
30.5,-10,40
30.5,-10,-40
30.5,10,40
30.5,10,-40
30.5,-10,50
30.5,-10,-50
30.5,10,50
30.5,10,-50
30.5,-10,-60
30.5,10,-60
30.5,10,-70
30.5,-110,0
30.5,-110,10
30.5,110,-100
30.5,110,-110
30.5,-110,20
30.5,-110,30
30.5,-110,40
30.5,110,-70
30.5,110,-80
30.5,110,-90
30.5,-120,10
30.5,120,-100
30.5,120,-110
30.5,-120,20
30.5,-120,30
30.5,120,-80
30.5,120,-90
30.5,-20,0
30.5,20,0
30.5,-20,10
30.5,-20,-10
30.5,20,10
30.5,20,-10
30.5,-20,20
30.5,-20,-20
30.5,20,20
30.5,20,-20
30.5,-20,30
30.5,-20,-30
30.5,20,30
30.5,20,-30
30.5,-20,40
30.5,-20,-40
30.5,20,40
30.5,20,-40
30.5,-20,50
30.5,-20,-50
30.5,20,50
30.5,20,-50
30.5,20,-60
30.5,20,-70
30.5,-30,0
30.5,30,0
30.5,-30,10
30.5,-30,-10
30.5,30,10
30.5,30,-10
30.5,-30,20
30.5,-30,-20
30.5,30,20
30.5,30,-20
30.5,-30,30
30.5,-30,-30
30.5,30,30
30.5,30,-30
30.5,-30,40
30.5,-30,-40
30.5,30,40
30.5,30,-40
30.5,-30,50
30.5,-30,-50
30.5,30,50
30.5,30,-50
30.5,30,-60
30.5,30,-70
30.5,30,-80
30.5,-40,0
30.5,40,0
30.5,-40,10
30.5,-40,-10
30.5,40,10
30.5,40,-10
30.5,-40,20
30.5,-40,-20
30.5,40,20
30.5,40,-20
30.5,-40,30
30.5,-40,-30
30.5,40,30
30.5,40,-30
30.5,-40,40
30.5,-40,-40
30.5,40,40
30.5,40,-40
30.5,-40,50
30.5,40,50
30.5,40,-50
30.5,40,-60
30.5,40,-70
30.5,40,-80
30.5,40,-90
30.5,-50,0
30.5,50,0
30.5,-50,10
30.5,-50,-10
30.5,50,10
30.5,50,-10
30.5,-50,20
30.5,-50,-20
30.5,50,20
30.5,50,-20
30.5,-50,30
30.5,-50,-30
30.5,50,30
30.5,50,-30
30.5,-50,40
30.5,-50,-40
30.5,50,40
30.5,50,-40
30.5,-50,50
30.5,50,50
30.5,50,-50
30.5,50,-60
30.5,50,-70
30.5,50,-80
30.5,50,-90
30.5,-60,0
30.5,60,0
30.5,-60,10
30.5,-60,-10
30.5,60,10
30.5,60,-10
30.5,60,-100
30.5,-60,20
30.5,-60,-20
30.5,60,20
30.5,60,-20
30.5,-60,30
30.5,-60,-30
30.5,60,30
30.5,60,-30
30.5,-60,40
30.5,60,40
30.5,60,-40
30.5,-60,50
30.5,60,50
30.5,60,-50
30.5,60,-60
30.5,60,-70
30.5,60,-80
30.5,60,-90
30.5,-70,0
30.5,70,0
30.5,-70,10
30.5,-70,-10
30.5,70,10
30.5,70,-10
30.5,70,-100
30.5,-70,20
30.5,-70,-20
30.5,70,20
30.5,70,-20
30.5,-70,30
30.5,70,30
30.5,70,-30
30.5,-70,40
30.5,70,40
30.5,70,-40
30.5,70,50
30.5,70,-50
30.5,70,-60
30.5,70,-70
30.5,70,-80
30.5,70,-90
30.5,-80,0
30.5,80,0
30.5,-80,10
30.5,-80,-10
30.5,80,10
30.5,80,-10
30.5,80,-100
30.5,80,-110
30.5,-80,20
30.5,-80,-20
30.5,80,-20
30.5,-80,30
30.5,80,-30
30.5,-80,40
30.5,80,-40
30.5,80,-50
30.5,80,-60
30.5,80,-70
30.5,80,-80
30.5,80,-90
30.5,-90,0
30.5,-90,10
30.5,-90,-10
30.5,90,-100
30.5,90,-110
30.5,-90,20
30.5,-90,30
30.5,90,-30
30.5,-90,40
30.5,90,-40
30.5,90,-50
30.5,90,-60
30.5,90,-70
30.5,90,-80
30.5,90,-90
35.5,0,0
35.5,0,10
35.5,0,-10
35.5,0,20
35.5,0,-20
35.5,0,30
35.5,0,-30
35.5,0,40
35.5,0,-40
35.5,0,50
35.5,0,-50
35.5,0,60
35.5,0,-60
35.5,0,-70
35.5,-10,0
35.5,10,0
35.5,-100,0
35.5,-100,10
35.5,-100,-10
35.5,100,-100
35.5,-100,20
35.5,-100,30
35.5,-100,40
35.5,100,-40
35.5,-100,50
35.5,100,-50
35.5,100,-60
35.5,100,-70
35.5,100,-80
35.5,100,-90
35.5,-10,10
35.5,-10,-10
35.5,10,10
35.5,10,-10
35.5,-10,20
35.5,-10,-20
35.5,10,20
35.5,10,-20
35.5,-10,30
35.5,-10,-30
35.5,10,30
35.5,10,-30
35.5,-10,40
35.5,-10,-40
35.5,10,40
35.5,10,-40
35.5,-10,50
35.5,-10,-50
35.5,10,50
35.5,10,-50
35.5,-10,60
35.5,-10,-60
35.5,10,60
35.5,10,-60
35.5,10,-70
35.5,-110,0
35.5,-110,10
35.5,-110,-10
35.5,110,-100
35.5,-110,20
35.5,-110,30
35.5,-110,40
35.5,110,-60
35.5,110,-70
35.5,110,-80
35.5,110,-90
35.5,-120,0
35.5,-120,10
35.5,120,-100
35.5,-120,20
35.5,-120,30
35.5,-120,40
35.5,120,-80
35.5,120,-90
35.5,-130,0
35.5,-130,10
35.5,-130,20
35.5,-130,30
35.5,-130,40
35.5,-140,10
35.5,-140,20
35.5,-140,30
35.5,-20,0
35.5,20,0
35.5,-20,10
35.5,-20,-10
35.5,20,10
35.5,20,-10
35.5,-20,20
35.5,-20,-20
35.5,20,20
35.5,20,-20
35.5,-20,30
35.5,-20,-30
35.5,20,30
35.5,20,-30
35.5,-20,40
35.5,-20,-40
35.5,20,40
35.5,20,-40
35.5,-20,50
35.5,-20,-50
35.5,20,50
35.5,20,-50
35.5,-20,60
35.5,-20,-60
35.5,20,60
35.5,20,-60
35.5,20,-70
35.5,20,-80
35.5,-30,0
35.5,30,0
35.5,-30,10
35.5,-30,-10
35.5,30,10
35.5,30,-10
35.5,-30,20
35.5,-30,-20
35.5,30,20
35.5,30,-20
35.5,-30,30
35.5,-30,-30
35.5,30,30
35.5,30,-30
35.5,-30,40
35.5,-30,-40
35.5,30,40
35.5,30,-40
35.5,-30,50
35.5,-30,-50
35.5,30,50
35.5,30,-50
35.5,-30,60
35.5,30,60
35.5,30,-60
35.5,30,-70
35.5,30,-80
35.5,30,-90
35.5,-40,0
35.5,40,0
35.5,-40,10
35.5,-40,-10
35.5,40,10
35.5,40,-10
35.5,-40,20
35.5,-40,-20
35.5,40,20
35.5,40,-20
35.5,-40,30
35.5,-40,-30
35.5,40,30
35.5,40,-30
35.5,-40,40
35.5,-40,-40
35.5,40,40
35.5,40,-40
35.5,-40,50
35.5,-40,-50
35.5,40,50
35.5,40,-50
35.5,40,60
35.5,40,-60
35.5,40,-70
35.5,40,-80
35.5,40,-90
35.5,-50,0
35.5,50,0
35.5,-50,10
35.5,-50,-10
35.5,50,10
35.5,50,-10
35.5,50,-100
35.5,-50,20
35.5,-50,-20
35.5,50,20
35.5,50,-20
35.5,-50,30
35.5,-50,-30
35.5,50,30
35.5,50,-30
35.5,-50,40
35.5,-50,-40
35.5,50,40
35.5,50,-40
35.5,-50,50
35.5,50,50
35.5,50,-50
35.5,50,60
35.5,50,-60
35.5,50,-70
35.5,50,-80
35.5,50,-90
35.5,-60,0
35.5,60,0
35.5,-60,10
35.5,-60,-10
35.5,60,10
35.5,60,-10
35.5,60,-100
35.5,-60,20
35.5,-60,-20
35.5,60,20
35.5,60,-20
35.5,-60,30
35.5,-60,-30
35.5,60,30
35.5,60,-30
35.5,-60,40
35.5,-60,-40
35.5,60,40
35.5,60,-40
35.5,-60,50
35.5,60,50
35.5,60,-50
35.5,60,60
35.5,60,-60
35.5,60,-70
35.5,60,-80
35.5,60,-90
35.5,-70,0
35.5,70,0
35.5,-70,10
35.5,-70,-10
35.5,70,10
35.5,70,-10
35.5,70,-100
35.5,-70,20
35.5,-70,-20
35.5,70,20
35.5,70,-20
35.5,-70,30
35.5,-70,-30
35.5,70,30
35.5,70,-30
35.5,-70,40
35.5,70,40
35.5,70,-40
35.5,-70,50
35.5,70,50
35.5,70,-50
35.5,70,60
35.5,70,-60
35.5,70,-70
35.5,70,-80
35.5,70,-90
35.5,-80,0
35.5,80,0
35.5,-80,10
35.5,-80,-10
35.5,80,10
35.5,80,-10
35.5,80,-100
35.5,-80,20
35.5,-80,-20
35.5,80,20
35.5,80,-20
35.5,-80,30
35.5,80,30
35.5,80,-30
35.5,-80,40
35.5,80,40
35.5,80,-40
35.5,-80,50
35.5,80,50
35.5,80,-50
35.5,80,60
35.5,80,-60
35.5,80,-70
35.5,80,-80
35.5,80,-90
35.5,-90,0
35.5,-90,10
35.5,-90,-10
35.5,90,-10
35.5,90,-100
35.5,-90,20
35.5,-90,-20
35.5,90,-20
35.5,-90,30
35.5,90,-30
35.5,-90,40
35.5,90,-40
35.5,-90,50
35.5,90,-50
35.5,90,-60
35.5,90,-70
35.5,90,-80
35.5,90,-90
40.5,0,0
40.5,0,10
40.5,0,-10
40.5,0,20
40.5,0,-20
40.5,0,30
40.5,0,-30
40.5,0,40
40.5,0,-40
40.5,0,50
40.5,0,-50
40.5,0,60
40.5,0,-60
40.5,0,-70
40.5,-10,0
40.5,10,0
40.5,-100,0
40.5,-100,10
40.5,-100,-10
40.5,-100,20
40.5,-100,-20
40.5,-100,30
40.5,100,-30
40.5,-100,40
40.5,100,-40
40.5,-100,50
40.5,100,-50
40.5,-100,60
40.5,100,-60
40.5,100,-70
40.5,100,-80
40.5,100,-90
40.5,-10,10
40.5,-10,-10
40.5,10,10
40.5,10,-10
40.5,-10,20
40.5,-10,-20
40.5,10,20
40.5,10,-20
40.5,-10,30
40.5,-10,-30
40.5,10,30
40.5,10,-30
40.5,-10,40
40.5,-10,-40
40.5,10,40
40.5,10,-40
40.5,-10,50
40.5,-10,-50
40.5,10,50
40.5,10,-50
40.5,-10,60
40.5,-10,-60
40.5,10,60
40.5,10,-60
40.5,-10,-70
40.5,10,-70
40.5,10,-80
40.5,-110,0
40.5,-110,10
40.5,-110,-10
40.5,-110,20
40.5,-110,30
40.5,-110,40
40.5,-110,50
40.5,110,-50
40.5,110,-60
40.5,110,-70
40.5,110,-80
40.5,110,-90
40.5,-120,0
40.5,-120,10
40.5,-120,-10
40.5,-120,20
40.5,-120,30
40.5,-120,40
40.5,-120,50
40.5,120,-70
40.5,120,-80
40.5,120,-90
40.5,-130,0
40.5,-130,10
40.5,-130,20
40.5,-130,30
40.5,-130,40
40.5,-140,10
40.5,-140,20
40.5,-140,30
40.5,-140,40
40.5,-150,10
40.5,-150,20
40.5,-150,30
40.5,-20,0
40.5,20,0
40.5,-20,10
40.5,-20,-10
40.5,20,10
40.5,20,-10
40.5,-20,20
40.5,-20,-20
40.5,20,20
40.5,20,-20
40.5,-20,30
40.5,-20,-30
40.5,20,30
40.5,20,-30
40.5,-20,40
40.5,-20,-40
40.5,20,40
40.5,20,-40
40.5,-20,50
40.5,-20,-50
40.5,20,50
40.5,20,-50
40.5,-20,60
40.5,-20,-60
40.5,20,60
40.5,20,-60
40.5,20,-70
40.5,20,-80
40.5,-30,0
40.5,30,0
40.5,-30,10
40.5,-30,-10
40.5,30,10
40.5,30,-10
40.5,-30,20
40.5,-30,-20
40.5,30,20
40.5,30,-20
40.5,-30,30
40.5,-30,-30
40.5,30,30
40.5,30,-30
40.5,-30,40
40.5,-30,-40
40.5,30,40
40.5,30,-40
40.5,-30,50
40.5,-30,-50
40.5,30,50
40.5,30,-50
40.5,-30,60
40.5,-30,-60
40.5,30,60
40.5,30,-60
40.5,30,-70
40.5,30,-80
40.5,30,-90
40.5,-40,0
40.5,40,0
40.5,-40,10
40.5,-40,-10
40.5,40,10
40.5,40,-10
40.5,-40,20
40.5,-40,-20
40.5,40,20
40.5,40,-20
40.5,-40,30
40.5,-40,-30
40.5,40,30
40.5,40,-30
40.5,-40,40
40.5,-40,-40
40.5,40,40
40.5,40,-40
40.5,-40,50
40.5,-40,-50
40.5,40,50
40.5,40,-50
40.5,-40,60
40.5,40,60
40.5,40,-60
40.5,40,-70
40.5,40,-80
40.5,40,-90
40.5,-50,0
40.5,50,0
40.5,-50,10
40.5,-50,-10
40.5,50,10
40.5,50,-10
40.5,50,-100
40.5,-50,20
40.5,-50,-20
40.5,50,20
40.5,50,-20
40.5,-50,30
40.5,-50,-30
40.5,50,30
40.5,50,-30
40.5,-50,40
40.5,-50,-40
40.5,50,40
40.5,50,-40
40.5,-50,50
40.5,50,50
40.5,50,-50
40.5,-50,60
40.5,50,60
40.5,50,-60
40.5,50,-70
40.5,50,-80
40.5,50,-90
40.5,-60,0
40.5,60,0
40.5,-60,10
40.5,-60,-10
40.5,60,10
40.5,60,-10
40.5,60,-100
40.5,-60,20
40.5,-60,-20
40.5,60,20
40.5,60,-20
40.5,-60,30
40.5,-60,-30
40.5,60,30
40.5,60,-30
40.5,-60,40
40.5,-60,-40
40.5,60,40
40.5,60,-40
40.5,-60,50
40.5,60,50
40.5,60,-50
40.5,-60,60
40.5,60,60
40.5,60,-60
40.5,60,-70
40.5,60,-80
40.5,60,-90
40.5,-70,0
40.5,70,0
40.5,-70,10
40.5,-70,-10
40.5,70,10
40.5,70,-10
40.5,70,-100
40.5,-70,20
40.5,-70,-20
40.5,70,20
40.5,70,-20
40.5,-70,30
40.5,-70,-30
40.5,70,30
40.5,70,-30
40.5,-70,40
40.5,70,40
40.5,70,-40
40.5,-70,50
40.5,70,50
40.5,70,-50
40.5,-70,60
40.5,70,60
40.5,70,-60
40.5,70,-70
40.5,70,-80
40.5,70,-90
40.5,-80,0
40.5,80,0
40.5,-80,10
40.5,-80,-10
40.5,80,10
40.5,80,-10
40.5,-80,20
40.5,-80,-20
40.5,80,20
40.5,80,-20
40.5,-80,30
40.5,-80,-30
40.5,80,30
40.5,80,-30
40.5,-80,40
40.5,80,40
40.5,80,-40
40.5,-80,50
40.5,80,50
40.5,80,-50
40.5,-80,60
40.5,80,60
40.5,80,-60
40.5,80,-70
40.5,80,-80
40.5,80,-90
40.5,-90,0
40.5,90,0
40.5,-90,10
40.5,-90,-10
40.5,90,10
40.5,90,-10
40.5,-90,20
40.5,-90,-20
40.5,90,-20
40.5,-90,30
40.5,90,-30
40.5,-90,40
40.5,90,-40
40.5,-90,50
40.5,90,-50
40.5,-90,60
40.5,90,-60
40.5,90,-70
40.5,90,-80
40.5,90,-90
45.5,0,0
45.5,0,10
45.5,0,-10
45.5,0,20
45.5,0,-20
45.5,0,30
45.5,0,-30
45.5,0,40
45.5,0,-40
45.5,0,50
45.5,0,-50
45.5,0,60
45.5,0,-60
45.5,0,70
45.5,0,-70
45.5,0,-80
45.5,-10,0
45.5,10,0
45.5,-100,0
45.5,-100,10
45.5,-100,-10
45.5,-100,20
45.5,-100,-20
45.5,100,-20
45.5,-100,30
45.5,100,-30
45.5,-100,40
45.5,100,-40
45.5,-100,50
45.5,100,-50
45.5,-100,60
45.5,100,-60
45.5,100,-70
45.5,100,-80
45.5,100,-90
45.5,-10,10
45.5,-10,-10
45.5,10,10
45.5,10,-10
45.5,-10,20
45.5,-10,-20
45.5,10,20
45.5,10,-20
45.5,-10,30
45.5,-10,-30
45.5,10,30
45.5,10,-30
45.5,-10,40
45.5,-10,-40
45.5,10,40
45.5,10,-40
45.5,-10,50
45.5,-10,-50
45.5,10,50
45.5,10,-50
45.5,-10,60
45.5,-10,-60
45.5,10,60
45.5,10,-60
45.5,-10,70
45.5,-10,-70
45.5,10,70
45.5,10,-70
45.5,10,-80
45.5,-110,0
45.5,-110,10
45.5,-110,-10
45.5,-110,20
45.5,-110,30
45.5,-110,40
45.5,110,-40
45.5,-110,50
45.5,110,-50
45.5,-110,60
45.5,110,-60
45.5,110,-70
45.5,110,-80
45.5,-120,0
45.5,-120,10
45.5,-120,-10
45.5,-120,20
45.5,-120,30
45.5,-120,40
45.5,-120,50
45.5,-120,60
45.5,120,-70
45.5,120,-80
45.5,-130,0
45.5,-130,10
45.5,-130,20
45.5,-130,30
45.5,-130,40
45.5,-130,50
45.5,-140,0
45.5,-140,10
45.5,-140,20
45.5,-140,30
